timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1553066343202,350,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,350,0,0
1553066343334,401,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,401,0,1
1553066343736,218,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,217,0,0
1553066343552,440,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,439,0,1
1553066343425,646,HTTP Request,200,,Report_ThreadGroup 1-80,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,645,0,5
1553066343374,722,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,720,0,0
1553066343992,115,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,115,0,0
1553066343954,364,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,363,0,1
1553066344096,269,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,268,0,1
1553066344108,259,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,258,0,0
1553066344197,248,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,248,0,1
1553066344318,253,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,252,0,1
1553066344367,216,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,216,0,0
1553066344365,330,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,329,0,0
1553066344445,297,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,297,0,1
1553066344584,160,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,158,0,0
1553066344742,130,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,130,0,1
1553066344744,231,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,231,0,0
1553066344571,408,HTTP Request,200,,Report_ThreadGroup 1-82,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,407,0,1
1553066344695,360,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,359,0,0
1553066344872,228,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,228,0,1
1553066344976,194,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,193,0,0
1553066345055,279,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,278,0,0
1553066345214,213,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,213,0,0
1553066345334,110,HTTP Request,200,,Report_ThreadGroup 1-83,text,true,,787,269,4,4,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,110,0,0
1553066345170,366,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,365,0,1
1553066345101,539,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,539,0,0
1553066345427,273,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,272,0,1
1553066345536,166,HTTP Request,200,,Report_ThreadGroup 1-84,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,166,0,0
1553066345640,134,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,134,0,1
1553066345700,109,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,109,0,0
1553066345774,109,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,108,0,1
1553066345809,178,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,178,0,1
1553066345883,185,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,184,0,1
1553066346195,114,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,113,0,1
1553066345988,380,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,380,0,0
1553066346068,336,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,336,0,0
1553066346309,185,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,184,0,0
1553066346405,120,HTTP Request,200,,Report_ThreadGroup 1-85,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,120,0,0
1553066346369,445,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,445,0,0
1553066346494,416,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,2,2,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,416,0,0
1553066346815,464,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,464,0,1
1553066346911,412,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,411,0,0
1553066347323,107,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,107,0,1
1553066347430,109,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,108,0,1
1553066347201,421,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,420,0,1
1553066347280,510,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,510,0,2
1553066347539,333,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,333,0,1
1553066347790,119,HTTP Request,200,,Report_ThreadGroup 1-86,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,119,0,1
1553066347622,369,HTTP Request,200,,Report_ThreadGroup 1-88,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,368,0,4
1553066347873,181,HTTP Request,200,,Report_ThreadGroup 1-87,text,true,,787,269,3,3,http://localhost:5008/report/inventry?itemCategory=null&itemStatus=null&qutrValue=0&yrValue=0&mntName=null&userId=null,181,0,0
